Timestamp;Pressure (hPa);Temperature (°C);Humidity (%);Bme280 Altitude (m);Speed (m/s);Relative Vertical Acceleration (m/s^2);Absolute Acceleration X (m/s^2);Absolute Acceleration Y (m/s^2);Absolute Acceleration Z (m/s^2);Rate of Rotation X (°/s);Rate of Rotation Y (°/s);Rate of Rotation Z (°/s);Rotation X (°);Rotation Y (°);Motor Rotation (°);Luminance at 0° (lux);Luminance at 120° (lux);Luminance at 240° (lux);Calculated Light Angle (°);Solar Panel Voltage (V);Gps Lat (°);Gps Lon (°);Gps Altitude (m);Errors;Status
165874;976,33;23,25;0,39;312,01;;;;;-3,062183923;;;;;;;;;;;;0;0;None;;ground_level
166888;976,27;23,24;0,39;312,53;;;;;-2,978386865;;;;;;;;;;;;0;0;None;;ground_level
167897;976,39;23,33;0,39;311,5;;;;;-3,033453503;;;;;;;;;;;;0;0;None;;ground_level
168907;976,29;23,28;0,39;312,36;;;;;-2,997540479;;;;;;;;;;;;0;0;None;;ground_level
169917;976,23;23,26;0,39;312,87;;;;;-2,935291235;;;;;;;;;;;;0;0;None;;ground_level
170927;976,36;23,36;0,39;311,76;;;;;-2,925714429;;;;;;;;;;;;0;0;None;;ground_level
171942;976,29;23,32;0,39;312,36;;;;;-2,925714429;;;;;;;;;;;;0;0;None;;ground_level
172953;976,22;23,29;0,39;312,96;;;;;-2,880224597;;;;;;;;;;;;0;0;None;;ground_level
173963;976,35;23,4;0,39;311,84;;;;;-2,983175269;;;;;;;;;;;;0;0;None;;ground_level
174973;976,33;23,39;0,39;312,01;;;;;-2,97120426;;;;;;;;;;;;0;0;None;;ground_level
175983;976,23;23,35;0,39;312,87;;;;;-2,770091321;;;;;;;;;;;;0;0;None;;ground_level
176996;976,37;23,45;0,39;311,67;;;;;-2,990357874;;;;;;;;;;;;0;0;None;;ground_level
178006;976,4;23,48;0,39;311,41;;;;;-2,937685437;;;;;;;;;;;;0;0;None;;ground_level
179016;976,29;23,44;0,39;312,36;;;;;-2,923320227;;;;;;;;;;;;0;0;None;;ground_level
180025;976,4;23,53;0,39;311,41;;;;;-2,937685437;;;;;;;;;;;;0;0;None;;ground_level
181035;976,45;23,58;0,39;310,98;;;;;-2,95683905;;;;;;;;;;;;0;0;None;;ground_level
182049;976,32;23,51;0,39;312,1;;;;;-2,992752075;;;;;;;;;;;;0;0;None;;ground_level
183058;976,43;23,6;0,39;311,15;;;;;-2,980781067;;;;;;;;;;;;0;0;None;;ground_level
184068;976,54;23,69;0,39;310,21;;;;;-2,995146277;;;;;;;;;;;;0;0;None;;ground_level
185077;976,37;23,59;0,39;311,67;;;;;-2,992752075;;;;;;;;;;;;0;0;None;;ground_level
186088;976,47;23,67;0,39;310,81;;;;;-2,959233252;;;;;;;;;;;;0;0;None;;ground_level
187103;976,6;23,76;0,39;309,7;;;;;-2,983175269;;;;;;;;;;;;0;0;None;;ground_level
188113;976,41;23,66;0,39;311,33;;;;;-2,791639136;;;;;;;;;;;;0;0;None;;ground_level
189123;976,49;23,74;0,39;310,64;;;;;-2,97120426;;;;;;;;;;;;0;0;None;;ground_level
190133;976,61;23,83;0,39;309,61;;;;;-2,851494177;;;;;;;;;;;;0;0;None;;ground_level
191143;976,41;23,72;0,39;311,33;;;;;-2,952050647;;;;;;;;;;;;0;0;None;;ground_level
